125,503805.22,2494257.35,17099,17017,.10,503852.21,2494057.31,503768.02,2494041.56
126,492052.37,2490780.02,10545,10532,.30,492159.15,2490787.65,492145.95,2490707.50
127,504581.94,2494627.75,17899,18195,.16,504555.69,2494586.46,504810.39,2494632.92
128,503484.14,2495992.45,16649,16793,.34,503429.87,2496019.09,503571.73,2496043.11
129,508901.34,2494717.56,21050,21021,.25,508914.19,2494628.51,508869.12,2494627.83
130,504580.34,2492248.30,18036,17967,.93,504629.66,2492261.18,504577.28,2492244.45
131,486214.33,2497862.46,5580,5770,.47,486048.04,2498015.19,486399.25,2497702.19
132,511825.54,2494648.40,23104,23102,.78,511990.94,2494726.12,511990.59,2494656.58
133,496966.27,2493788.59,13771,13727,.62,496949.08,2493561.45,496845.22,2493604.08
134,511846.05,2493891.46,22789,23027,.65,511696.56,2493863.91,511920.73,2493917.44
135,488414.33,2496971.07,7244,7389,.65,488393.99,2497192.25,488575.99,2497003.51
136,504195.32,2494789.60,17559,17558,.43,504268.46,2494849.24,504267.48,2494709.50
137,504504.07,2494098.25,17804,17805,.99,504502.66,2494121.05,504502.66,2494098.02
138,514096.21,2501977.58,24700,24681,.65,513952.46,2501858.07,513924.91,2501998.61
139,505478.12,2492215.34,18665,18662,.34,505305.50,2492155.68,505302.76,2492323.11
140,491399.06,2493965.73,9801,9604,.53,491513.32,2493962.77,491301.48,2493982.90
141,503826.90,2495370.14,17144,17001,.54,503910.33,2495385.05,503756.53,2495362.37
142,491977.49,2492592.07,10376,10333,.89,491996.02,2492490.79,491952.43,2492500.39
143,509260.89,2494763.00,21237,21238,.35,509363.59,2494809.84,509367.38,2494686.71
144,503876.30,2503175.98,16761,16733,.33,503537.05,2503031.43,503500.69,2503156.18
145,491428.40,2492894.26,9659,9674,.23,491348.84,2492864.56,491368.05,2493025.98
146,506231.81,2505883.15,19585,19512,.55,506349.44,2506084.97,506285.74,2505707.94
147,511023.28,2499352.11,22313,22310,.43,511063.03,2499363.67,511059.14,2499327.57
148,491495.40,2489602.23,9770,9786,.81,491477.62,2489564.93,491495.03,2489612.08
149,487392.14,2496405.08,6493,6395,.81,487576.92,2496466.23,487417.36,2496318.07
150,514476.15,2498978.37,25145,25023,.95,514716.74,2498642.46,514390.76,2498870.34
151,501290.35,2516431.12,15258,15190,.91,501547.45,2516252.66,501444.12,2516491.21
152,535492.96,2510464.91,30386,30404,.76,535312.71,2510453.85,535406.22,2510573.91
153,501966.04,2506415.89,15556,15527,.56,501997.15,2506437.42,501944.86,2506395.50
154,506336.30,2492063.89,19595,19485,.23,506359.60,2492044.41,506260.71,2492043.19
155,498074.33,2493675.72,14130,14100,.95,498197.27,2493541.65,498064.59,2493546.96
156,512929.93,2497487.67,24087,24141,.27,513006.96,2497342.02,513092.02,2497408.87
157,491555.14,2493233.56,10080,9686,.52,491735.02,2493095.17,491378.79,2493117.43
158,488078.10,2497311.99,7066,6916,.67,488218.84,2497334.47,488090.66,2497215.58
159,490118.07,2491204.55,8849,8638,.78,490404.45,2491387.04,490137.62,2491074.16
160,495845.39,2496597.96,13372,13373,.68,495911.69,2496823.22,495916.04,2496497.23
161,505469.64,2493262.69,18796,18789,.22,505502.10,2493308.76,505494.59,2493095.06
162,484739.26,2513065.60,4732,4737,.54,484674.58,2513092.38,484689.63,2513114.32
163,507098.10,2491351.94,20318,20349,.41,507213.71,2491459.67,507293.19,2491301.72
164,512144.24,2494412.65,23281,23336,.79,512118.09,2494481.64,512166.74,2494471.55
165,511183.94,2494998.50,22460,22475,.24,511303.28,2495083.76,511328.66,2494774.42
166,500894.20,2494867.04,14842,14925,.57,500782.37,2494750.75,500929.27,2494983.27
167,494484.23,2518292.33,12665,12638,.83,494512.95,2518754.19,494479.76,2518201.19
168,487928.01,2498197.81,6783,6867,.76,487924.36,2498354.98,488023.86,2498252.65
169,485669.63,2517867.22,5388,5447,.51,485634.89,2518108.94,485796.45,2518073.60
170,492369.17,2494324.88,10889,10764,.08,492509.72,2494298.76,492379.38,2494056.73
